Name,X,LinkedIn,Mastodon,BlueSky,Threads,Website,Podcast,YouTube
Adam Storr,@WestDiscGolf,,,,,https://adamstorr.azurewebsites.net/feed.rss,,
Adrian Hills,@AdaTheDev,,,,,https://www.adathedev.co.uk/index.xml,,
Ahmed Muhi,@ahmedmuhi01,https://www.linkedin.com/in/ahmedmuhi/,,,,https://www.iamachs.com/index.xml,https://www.youtube.com/feeds/videos.xml?channel_id=UC18V-ACztikTSemzeEmrOhA,https://www.youtube.com/feeds/videos.xml?channel_id=UCmn2cLw56J1bU_PGnXLMYMA
Alan Kinane,@azure_alan,https://www.linkedin.com/in/alankinane/,,,,https://azurealan.ie/feed/,,
Alberto Andrew,@albandrod,,,,,https://albandrodsmemory.wordpress.com/feed/,,
Andy Jones,andy_69jones,https://www.linkedin.com/in/andrew-jones-65a67b59/,,,,https://move2modern.uk/index.php/feed/,,https://www.youtube.com/feeds/videos.xml?channel_id=UCvGu4AIoZxB0NV7o-yUuQ2A
Andy Roberts,@andyr2319,,,,,https://www.andyroberts.nz/index.xml,,
Antti K. Koskela,@koskila,,,,,https://www.koskila.net/feed/,,
April Edwards,@TheAprilEdwards,,,,,https://azapril.dev/feed/,,
Azure Cloud Native,,,,,,,,https://www.youtube.com/feeds/videos.xml?channel_id=UC2Pk9GcHhlVV0R9CQIU6gLw
Azure Greg,@gregor_suttie,,,,,https://gregorsuttie.com/feed/,,https://www.youtube.com/feeds/videos.xml?channel_id=UC6Z6po-HoVP6NEp88KYXSPw
Azureish Live!,@AzureishLive,,,,,,,https://www.youtube.com/feeds/videos.xml?channel_id=UCVQtNIXAgtJA-w9pd17WH5A
Barbara 4bes,@Ba4bes,,,,,https://4bes.nl/feed/,,
Batsirai Tambo,,,,,,https://www.imaginarium.dev/rss/,,
Billy York,@SCAutomation,,,,,https://www.cloudsma.com/feed/,,
Build5Nines,@Build5Nines,,,,,https://build5nines.com/feed/,,
Camilo Terevinto,@cterevinto,https://www.linkedin.com/in/camiloterevinto,,,,https://www.camiloterevinto.com/rss.xml,,
Carlos Mendible,@cmendibl3,https://linkedin.com/in/carlosmendible,https://hachyderm.io/@cmendibl3,,,https://carlos.mendible.com/index.xml,,
Charbel Nemnom,@charbelnemnom,,,,,https://charbelnemnom.com/feed/,,
Charlie Gough,@getofmeland,,,,,https://shiftingtothecloud.co.uk/feed,,
